data,directory
Antigua and Barbuda,Antigua_and_Barb
"Bahamas, The",Bahamas
Brunei Darussalam,Brunei
Cabo Verde,Cape_Verde
Cayman Islands,Cayman_Is.
"Congo, Rep.",Congo_(Brazzaville)
"Congo, Dem. Rep.",Congo_(Kinshasa)
Cote d'Ivoire,Ivory_Coast
"Egypt, Arab Rep.",Egypt
Eswatini,Swaziland
"Gambia, The",Gambia
Guinea-Bissau,Guinea_Bissau
"Hong Kong SAR, China",Hong_Kong
"Iran, Islamic Rep.",Iran
"Korea, Rep",S._Korea
Kyrgyz Republic,Kyrgyzstan
Lao PDR,Laos
"Macao SAR, China",Macau
"Macedonia, FYR",Macedonia
Russian Federation,Russia
Sint Maarten (Dutch part),Sint Maarten
Slovak Republic,Slovakia
Syrian Arab Republic,Syria
"Venezuela, RB",Venezuela
West Bank and Gaza,West_Bank
"Yemen, Rep.",Yemen
Turks and Caicos Islands,Turks_and_Caicos_Is
Cura̤ao,Curacao
British Virgin Islands,British_Virgin_Is
Czech Republic,Czech_Rep
Dominican Republic,Dominican_Rep
Equatorial Guinea,Eq._Guinea
